hnid,school,field_of_study,year
Bretthuneycutt,Boston College,Economics And Math,2003
Bretthuneycutt,University of Oxford,Economics,2006
Bricejm,University of Wisconsin-Eau Claire,Finance And Accounting,2003
Brushfire,Indiana University Bloomington,Business,2004
Brushfire,University of Chicago,"Finance, Marketing, Entrepreneurship",2011
Bubner,TU Graz,Biotechnology,2011
Bubner,TU Graz,Chemical Engineering,2006
Bubner,"University of California, Berkeley",Biotechnology,2016
Buoy,University of Exeter,Computer Science,2020
BuzzVastly,Northwestern University,History,2018
CB_Therapeutics,"University of California, Davis",Biochemistry And Molecular Biology,2007
CMinch,University of Waterloo,Physics,2017
Caitlinjshort,Fashion Institute of Design and Merchandising,Product Development,2012
Caitlinjshort,University of Michigan,"Computer Science Major, Economics Major",2017
CamGlyco,The University of Edinburgh,Cell And Molecular Biology,2013
CamGlyco,"University of Cambridge, Judge Business School",Entrepreneurship,2016
CamGlyco,University of Leeds,Biochemistry,2009
CanadaKaz,Queen's University,Business,2005
CanadaKaz,University of Toronto,Law,2008
CarlosAravena,Columbia University - School of International and Public Affairs,E-lab,2021
CarlosAravena,Massachusetts Institute of Technology,Business Program,2019
CarlosAravena,Pontificia Universidad Católica de Chile,Agronomía,2010
CarlosAravena,Y Combinator,W21 Batch Startup Founder,2021
Carlscho,Stanford University,Mechanical Engineering,2024
Carol451,Eada,Management,2012
ChaitanyaSarda,IIT Kharagpur,Computer Science,2015
ChaithanyaX,Narayana Junior College,Pcm,2013
ChaithanyaX,School of Planning and Architecture Delhi,Architecture,2018
ChalamPVS,IIT Guwahati,Mechanical Engineering,2015
ChandellStone,Harvard University Graduate School of Education,Learning And Teaching,2014
ChandellStone,North Carolina Agricultural and Technical State University,Mathematics Secondary Education,2013
ChandellStone,Queens University of Charlotte,Mathematics,2010
ChandellStone,University of Hyderabad,Mathematics,2012
Chitter,University of Alberta,Chemical Engineering,2014
Cholical,University of North Carolina at Chapel Hill,Computer Science And Business Administration,2018
ChooseSameday,Brigham Young University,Entrepreneurial Management,2022
ChooseSameday,Utah State University,Business Administration,2017
Chower,Covenant University,Economics,2019
ChrisCarde,"University of California, Davis",Computer Engineering,2001
ChrisCarde,"University of California, Davis",Electrical Engineering,2004
